,City,cityID,clusterID,Typology,Country,Car Modeshare (%),Public Transit Modeshare (%),Bicycle Modeshare (%),Walking Modeshare (%),Gasoline Pump Price (USD/liter),Road Deaths Rate (per 1000),Subway Length (km),Subway Length Density (per km),Subway Stations per Hundred Thousand,Subway Ridership per Capita,Subway Age (years),BRT Length (km),BRT System Length Density (per km),BRT Stations per Hundred Thousand Persons,BRT Fleet per Hundred Thousand Persons,BRT Annual Ridership per Capita,BRT Age (years),Bikeshare Stations,Bikeshare Stations per Hundred Thousand Persons,Bikeshare Number of Bikes,Bikeshare Bicycles per Hundred Thousand Persons,Bikeshare Age (years),Congestion (%),Congestion AM Peak (%),Congestion PM Peak (%),Traffic Index,Travel Time Index,Inefficiency Index,Population,Land Area (sq. km),Population Density (per sq. km),Population Change 1990 – 2000,Population Change 2000 – 2010,Population Change 2010 – 2020,Population Change 2020 – 2025,Urbanization Rate 2015 (%),Urbanization Rate Change 2015 – 2025 (pp),GDP per Capita (USD),Unemployment Rate (%),Cost of Living Index,Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Gini Coefficient,Poverty Rate (%),Life Expectancy (years),Safety Index,Internet Penetration,Digital Penetration,Innovation Index,Smartphone Penetration (%),CO2 Emissions per Capita (metric tonnes),Pollution Index ,Street length total (m),Street Length Density (m/sq. km),Street Length Average (m),Intersection Count,Intersection Density (per sq. km),Degree Average,Streets per Node,Circuity,Self-Loop Proportion,Highway Proportion,Metro Propensity Factor,BRT Propensity Factor,BikeShare Propensity Factor,Development Factor,Sustainability Factor,Population Factor,Congestion Factor,Sprawl Factor,Network Density Factor,AvgTemperature,coordinates,Temperature,Humidity,Location
0,Baltimore(MD),285.0,7.0,Auto Sprawl,United States,85.0,6.1,0.3,2.6,0.66,8.5,24.9,0.013408724,0.615384615,6.417582418,34.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2.197802198,,0.0,2.0,19.0,33.0,46.0,148.97,36.9,150.22,2275000.0,1857.0,1200.0,233673.0,332204.0,399059.0,195708.0,81.6,1.7,58789.0,7.2,77.33,48.58,76.48,78.28,150.69,0.443,22.9,78.8,31.19,81.0,0.78,45.0,72.0,14.3,,7468900.983,7604832752.0,148.0133367,28660.0,1018.199702,5.021972378,2.869906403,1.0677361,0.00790954,0.041018041,0.1608481108,0.1768672965,0.360637178,0.7962638195,0.3559643803,0.0819556235,0.1800854268,0.7221625923,0.4251872575,,"(39.2908816, -76.610759)",7.34,82,"(39.2908816, -76.610759)"
1,Melbourne,10.0,8.0,Auto Innovative,Australia,80.0,14.0,2,4.0,1.11,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1.264222503,600.0,15.17067004,2.0,33.0,55.0,58.0,143.12,35.57,138.17,3955000.0,2543.0,1500.0,316060.0,462816.0,715525.0,350883.0,89.4,1.2,39358.0,5.5,79.04,44.3,72.93,76.07,139.62,,,82.0,60.23,86.9,0.74,50.0,77.0,10.2,26.77,8636838.53,8653670487.0,107.5035914,48571.0,1001.948856,4.948412698,2.876304876,1.036985249,0.001625523,0.014488999,0.0603867839,0.1683348531,0.3636753686,0.7861742392,0.3978941712,0.0822674181,0.333172875,0.5393552118,0.5589103703,67.0,"(-37.8142176, 144.9631608)",19.87,44,"(-37.8142176, 144.9631608)"
2,Niamey,186.0,1.0,Congested Emerging,Niger,,9.0,2,60.0,1.02,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1435000.0,130.0,11100.0,248392.0,541978.0,960996.0,741379.0,18.7,3.5,427.4,,,,,,,,18.6,61.8,,2.4,0.04,,,0.106860921,,2134329.2,3496994771.0,97.86011919,13033.0,1638.45145,6.161297392,3.187449777,1.019423308,9.49e-05,0.0,0.0362202508,0.0109145588,0.3431610039,0.0,0.2736455259,0.2483983023,0.6554640043,0.2756052615,0.4103117074,89.0,"(13.524834, 2.109823)",20.64,22,"(13.524834, 2.109823)"
3,Hanoi,328.0,12.0,MetroBike Emerging,Vietnam,8.0,10.0,2,,0.9,24.5,0.0,0.0,0.0,0.0,0.0,14.5,,0.143,,0.149,1.0,0,0.0,0.0,0.0,0.0,,,,160.6,40.78,189.18,7445000.0,868.0,8600.0,520495.0,1149423.0,1391900.0,608994.0,33.6,6.3,3425.0,6.84,41.73,17.15,37.25,22.72,23.47,0.34,5.4,76.0,54.64,50.1,0.31,35.0,35.0,1.700368284,89.66,8079366.816,1156633569.0,300.3705412,15881.0,143.1589375,5.205794631,2.870472944,1.097533266,0.000920773,0.022938148,0.0780280028,0.0845106353,0.3588676925,0.1576759725,0.5090572885,0.2925636585,0.624622547,0.6667099834,0.2391131189,77.3,"(21.0294498, 105.8544441)",15.19,52,"(21.0294498, 105.8544441)"
4,Urumqi,67.0,12.0,MetroBike Emerging,China,21.7,54.7,18.0,6.6,1.16,18.8,0.0,0.0,0.0,0.0,0.0,66.0,0.134146341,2.53776435,9.123867069,34.44108761,7.0,0,0.0,0.0,0.0,0.0,,,,,,,3310000.0,492.0,6700.0,556511.0,1249115.0,1610288.0,491541.0,55.6,9.8,12189.0,3.4,,,,,,0.32,,76.1,,50.1,0.43,,58.0,7.550916485,,8891135.865,216952973.8,546.9448736,9567.0,24.40104134,4.736408567,2.680313015,1.064156975,0.000347826,0.060127854,0.103334321,0.4472613519,0.3925514084,0.2872347043,0.8014635635,0.3229604384,0.5860188047,0.7918220423,0.0756169035,,"(43.419754, 87.319461)",-19.26,100,"(43.419754, 87.319461)"
5,Milwaukee(WI),297.0,7.0,Auto Sprawl,United States,88.6,3.6,0.5,2.7,0.64,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.978798587,200.0,14.13427562,4.0,13.0,24.0,32.0,,,,1415000.0,1414.0,1000.0,82748.0,176893.0,261385.0,130360.0,81.6,1.7,56697.0,7.3,72.99,33.05,71.23,74.87,123.45,0.43,26.8,80.0,35.6,79.8,0.78,42.0,72.0,15.1,,5061233.232,9799272238.0,139.6202271,20332.0,1936.143187,5.579545967,3.280137203,1.035583156,0.003187032,0.02288307,0.0277873421,0.1667408345,0.3908619256,0.7300539272,0.3244672217,0.0441476341,0.098736216,0.680910553,0.5828463687,,"(43.0349931, -87.922497)",-9.69,54,"(43.0349931, -87.922497)"
6,Paris,90.0,9.0,MassTransit Heavyweight,France,12.0,33.0,3,47.0,1.84,2.8,214.0,0.075219684,2.778288868,140.3863845,117.0,41.0,0.014411248,0.496780129,0.653173873,2.470101196,25.0,1229,11.30634775,14500.0,133.3946642,11.0,38.0,68.0,66.0,150.15,38.73,117.34,10870000.0,2845.0,3700.0,408940.0,777107.0,1164656.0,481828.0,79.5,2.2,71671.0,8.9,83.82,45.54,77.1,84.29,97.36,,,83.0,47.97,83.3,0.72,54.0,49.0,7.9,67.65,2571981.812,14853757254.0,97.79398524,15863.0,5775.218621,4.070465213,3.148535441,1.024124631,0.001518027,0.008955102,0.7672363124,0.370779622,0.5630012437,0.7176626931,0.4014493318,0.1792076094,0.5876993408,0.0827914318,0.8604962816,42.1,"(48.8566969, 2.3514616)",-0.4,93,"(48.8566969, 2.3514616)"
7,Montevideo,322.0,5.0,Hybrid Moderate,Uruguay,,,,,1.74,16.6,0.0,0.0,0.0,0.0,0.0,6.0,0.019292605,1.302681992,,5.747126437,6.0,0,0.0,0.0,0.0,0.0,,,,236.03,55.12,246.31,1305000.0,311.0,4200.0,59144.0,54201.0,156486.0,83406.0,95.3,1.2,14010.0,,67.17,19.08,54.23,63.92,36.99,0.43,10.1,77.0,43.2,60.5,0.54,35.0,,2.231639431,58.63,4320734.939,4413598002.0,128.1774879,19234.0,1021.492423,5.615611614,3.212327463,1.021138135,0.000474641,0.0,0.0888911662,0.2219730719,0.32873541,0.4172862341,0.2222785355,0.0236044728,0.5331817422,0.2119928126,0.5016696372,,"(-34.9059039, -56.1913569)",11.98,51,"(-34.9059039, -56.1913569)"
8,Krakow,201.0,5.0,Hybrid Moderate,Poland,27.0,46.0,1,25.0,1.41,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,4.473684211,230.0,30.26315789,10.0,38.0,57.0,70.0,100.57,31.64,82.57,760000.0,220.0,3500.0,20809.0,712.0,16318.0,30691.0,60.5,0.9,16843.0,10.9,39.58,15.96,30.8,32.66,76.46,0.33,,77.5,68.61,65.0,0.59,38.0,41.0,8.0,67.78,2526308.757,4715254848.0,164.6018216,8958.0,1866.460239,4.555022312,2.596446914,1.070976574,0.001330869,0.012524013,0.0928085572,0.0818045563,0.5095064088,0.3882345177,0.4925328735,0.0444966578,0.5409400082,0.3127592591,0.3305748566,,"(50.0619474, 19.9368564)",-5.09,92,"(50.0619474, 19.9368564)"
9,Yekaterinburg,209.0,2.0,BusTransit Sprawl,Russia,34.0,64.0,1,1.0,0.73,18.9,12.7,0.024517375,0.659340659,38.02197802,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.0,56.0,68.0,138.89,35.0,107.01,1365000.0,518.0,2600.0,-46300.0,44710.0,81031.0,39391.0,74.0,1.3,11279.6,,34.52,11.23,27.91,36.49,48.54,0.44,,70.5,48.8,61.4,0.5,35.0,45.0,12.46681628,,1975651.316,2480086285.0,230.8003874,4896.0,1255.325909,4.994186047,2.772609819,1.05730641,0.001034795,0.0,0.1961352358,0.1143074306,0.4153555557,0.2963043408,0.379869478,0.0399980632,0.5036758302,0.6512549167,0.3577068902,30.2,"(56.839104, 60.60825)",-14.42,83,"(56.839104, 60.60825)"
10,Pune,120.0,3.0,Congested Boomer,India,54.0,12.0,11,22.0,1.19,5.2,0.0,0.0,0.0,0.0,0.0,29.0,0.060542797,,,3.474503025,3.0,0,0.0,0.0,0.0,0.0,,,,236.99,51.11,250.42,5785000.0,479.0,12100.0,1224936.0,1296609.0,1630382.0,905552.0,32.7,4.3,1861.5,,26.42,7.55,26.91,19.5,110.53,,13.7,68.3,53.7,28.3,0.32,36.0,17.0,1.590272829,78.1,5700998.399,4744294436.0,120.1753494,27097.0,832.1865932,4.852631291,2.595167073,1.076220322,0.001635461,8.73e-05,0.0410207472,0.1540391679,0.4586549348,0.1748937699,0.2309489559,0.3337448398,0.4836226129,0.1960029134,0.3097509999,,"(18.521428, 73.8544541)",24.16,75,"(18.521428, 73.8544541)"
11,Cebu,199.0,1.0,Congested Emerging,Philippines,,,,,0.98,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,141.44,32.5,171.92,2580000.0,207.0,12500.0,108609.0,118013.0,239335.0,169316.0,44.4,0.5,2753.3,,39.75,12.22,38.33,24.9,27.0,0.38,13.0,68.5,50.48,43.0,0.43,,22.0,1.006838603,76.17,4891006.519,121809687.1,224.1730002,12133.0,24.90483025,4.766476535,2.456316711,1.176791429,0.003388626,0.0,0.0863391017,0.0568312895,0.379252189,0.1643360405,0.3559385816,0.0967642738,0.649276111,0.2614111635,0.1349648388,,"(10.45, 123.84)",25.2,74,"(10.45, 123.84)"
12,Abidjan,29.0,1.0,Congested Emerging,Ivory Coast,,,,,1.12,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,4820000.0,376.0,12800.0,925784.0,1123584.0,1744878.0,1074627.0,54.2,6.3,1552.8,13.0,,,,,,0.42,35.9,53.3,,22.0,0.13,,,0.415669842,,4559948.577,1545901368.0,138.8154457,19056.0,339.017281,5.548965335,2.884671148,1.057061387,0.001235154,0.01375225,0.0786633389,0.0595696922,0.3491845701,0.0705583857,0.3408307777,0.3387327195,0.6961593355,0.3824172006,0.3108635344,84.2,"(5.320357, -4.016107)",29.48,83,"(5.320357, -4.016107)"
13,Austin(TX),301.0,7.0,Auto Sprawl,United States,86.8,2.6,0.8,1.8,0.6,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,2.746268657,375.0,22.3880597,5.0,25.0,39.0,59.0,182.18,37.33,281.76,1675000.0,1355.0,1000.0,343914.0,353889.0,232059.0,114104.0,81.6,1.7,61183.0,5.3,68.91,51.31,65.14,69.0,132.34,0.469,14.5,78.5,65.36,68.1,0.78,46.0,72.0,10.4,36.48,8997826.161,5336646981.0,168.6407302,30832.0,593.1040326,5.017709748,2.785262773,1.074628536,0.003487803,0.030032628,0.0328488459,0.1413094444,0.3924530839,0.7433349642,0.333925372,0.0681843781,0.2635670331,0.7654547073,0.3798088783,,"(30.2711286, -97.7436995)",-1.02,34,"(30.2711286, -97.7436995)"
14,Yaounde,32.0,1.0,Congested Emerging,Cameroon,,,,,1.19,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3205000.0,231.0,13900.0,573985.0,969008.0,1100097.0,577300.0,54.4,5.2,1495.4,,,,,,,0.44,12.2,57.3,,17.7,0.16,,,0.306750488,,2454761.473,1942897948.0,150.2853847,9150.0,791.4813593,4.911928992,2.500879945,1.088127198,0.000685422,0.0,0.0752543943,0.0422983871,0.3532698815,0.0503873986,0.3131788927,0.2566570882,0.6920237471,0.3078203473,0.2627302579,,"(3.8689867, 11.5213344)",23.67,93,"(3.8689867, 11.5213344)"
15,Delhi,113.0,3.0,Congested Boomer,India,19.0,42.0,12,21.0,1.14,9.1,213.0,0.098474341,0.621721391,36.87585001,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.027200311,,,11.0,,,,255.36,52.28,279.66,25735000.0,2163.0,11900.0,6006419.0,6202838.0,7338635.0,3661236.0,32.7,4.3,12747.0,3.14,28.43,9.73,26.24,22.02,81.69,0.36,13.7,64.0,39.65,28.3,0.32,40.0,17.0,1.590272829,92.48,21456378.58,8119260572.0,93.31051019,134785.0,378.4077795,5.298625603,2.758880814,1.049601706,0.000760508,0.00121591,0.368698107,0.0735684539,0.5138388343,0.1807776147,0.2432331258,1.0,0.6229909266,0.4161150327,0.5674048405,72.0,"(28.6517178, 77.2219388)",15.5,87,"(28.6517178, 77.2219388)"
16,Hefei,68.0,12.0,MetroBike Emerging,China,42.0,24.6,2.7,19.3,1.16,18.8,24.6,0.033931034,0.616621984,0.0,1.0,7.0,0.009655172,0.241286863,1.742627346,5.247989276,8.0,0,0.0,0.0,0.0,0.0,,,,,,,3730000.0,725.0,5100.0,432769.0,1297253.0,1719219.0,495298.0,55.6,9.8,11809.0,3.3,,,,,,0.32,,76.1,,50.1,0.43,32.0,58.0,7.550916485,,4311202.401,4000566882.0,297.2832989,8118.0,927.9468951,4.416571559,3.322072586,1.027265274,0.000723552,0.014996283,0.1110300206,0.1316021532,0.4062512142,0.2632576183,0.628634171,0.2860169608,0.5278574521,0.6109873154,0.3788407821,,"(31.8228094, 117.2218033)",-0.68,75,"(31.8228094, 117.2218033)"
17,Dubai,258.0,7.0,Auto Sprawl,United Arab Emirates,50.0,1.0,0.2,19.0,0.61,10.9,74.6,0.049667111,1.29476584,45.26170799,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.0,37.0,52.0,164.59,35.24,212.08,3630000.0,1502.0,2400.0,432968.0,929213.0,1298623.0,350943.0,85.5,2.2,24866.0,0.8,69.1,76.4,56.5,64.61,120.08,,,75.75,78.15,93.2,0.64,49.0,,18.70823579,56.38,18612629.35,1235601191.0,164.6319466,71667.0,66.38509624,4.582954264,2.937476376,1.077865015,0.005596983,0.040731328,0.2321837194,0.144372253,0.3042072708,0.7037777711,0.4677899995,0.1556234191,0.3062243858,0.837046951,0.2802994821,76.7,"(25.2047397, 55.2707065)",21.92,83,"(25.0750095, 55.18876088183319)"
18,Chicago(IL),269.0,8.0,Auto Innovative,United States,78.0,12.0,0.7,3.1,0.71,7.8,165.4,0.024124854,1.589548176,25.97713664,120.0,25.0,0.003646441,0.326619488,,0.40827436,,580,6.31464344,5800.0,63.1464344,5.0,26.0,36.0,57.0,202.03,44.21,222.91,9185000.0,6856.0,1300.0,959513.0,1211483.0,1286998.0,602142.0,81.6,1.7,59810.0,9.1,84.81,57.45,82.63,85.15,125.15,0.465,20.9,74.075,34.66,78.5,0.78,51.0,72.0,18.5,42.62,12500968.79,8576559898.0,150.5125312,46139.0,686.0716191,5.684480564,3.253402526,1.027464615,0.002990237,0.023108181,0.5210843941,0.2464327884,0.4286026188,0.8356025588,0.2400850195,0.223672193,0.3001943355,0.7757481946,0.7668499645,,"(41.8755616, -87.6244212)",-8.07,63,"(41.8755616, -87.6244212)"
19,Dalian,63.0,12.0,MetroBike Emerging,China,21.0,43.0,20,16.0,1.16,18.8,141.0,0.181467181,1.302325581,24.13953488,14.0,14.0,0.018018018,0.255813953,1.488372093,6.069767442,10.0,0,0.0,0.0,0.0,0.0,,,,,,,4300000.0,777.0,5500.0,948960.0,472165.0,762034.0,415737.0,55.6,9.8,17879.0,2.61,,,,,,0.32,,76.1,,50.1,0.43,38.0,58.0,10.3,,1865682.941,1889744471.0,245.355463,4473.0,1012.896902,5.279872965,3.028979754,1.086058182,0.001954887,0.011084471,0.3595199648,0.1606845319,0.3896317794,0.2724601015,0.6888915338,0.2498679934,0.5702949624,0.603667013,0.3179753388,,"(38.9181714, 121.6282945)",-6.94,53,"(38.9181714, 121.6282945)"
20,Ho Chi Minh City,327.0,12.0,MetroBike Emerging,Vietnam,11.0,6.0, ,,0.91,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,106.2,30.62,105.71,10075000.0,1554.0,6500.0,1351564.0,1800054.0,2345715.0,1163380.0,33.6,6.3,8660.0,4.8,41.57,18.73,42.43,20.03,30.92,0.35,2.1,76.0,40.52,50.1,0.31,37.0,35.0,1.700368284,94.38,14091278.95,1692381819.0,198.1617065,41349.0,120.1013637,5.254804143,2.838425159,1.059153193,0.000805061,0.00310574,0.0729645838,0.049171558,0.3568322205,0.1603115621,0.604208817,0.392611022,0.5912497687,0.6430379679,0.3419867106,,"(10.7758439, 106.7017555)",28.39,94,"(10.7758439, 106.7017555)"
21,Kharkiv,256.0,6.0,Hybrid Giant,Ukraine,34.0,64.0,1,1.0,1.11,13.5,38.1,0.096700508,1.880877743,144.8902821,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1595000.0,394.0,4100.0,-101844.0,-31306.0,-21628.0,-10693.0,69.7,2.4,2905.9,,26.1,10.55,19.01,18.64,25.37,,,71.3,46.64,41.8,0.43,30.0,27.0,5.959632751,,2666121.653,4222249375.0,181.8264784,8574.0,1583.667186,5.422668356,2.870675373,1.050967745,0.000575105,0.0,0.41447885,0.083760706,0.446058797,0.1928463581,0.3921824673,0.0490432178,0.5879614141,0.4358805445,0.4244086835,37.4,"(49.9902794, 36.2303893)",0.16,78,"(49.9902794, 36.2303893)"
22,Managua,185.0,1.0,Congested Emerging,Nicaragua,,,,,1.02,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,990000.0,155.0,6400.0,152009.0,66726.0,238958.0,139614.0,58.8,3.5,1946.4,,,,,,,0.51,14.8,74.8,,15.5,0.19,,,0.768475284,,2786605.867,2249981427.0,109.1032406,14743.0,807.4272195,5.528218644,2.925743425,1.045846583,0.000974255,0.0,0.073273009,0.0604788317,0.3618886616,0.1080238859,0.2906996983,0.1243887237,0.6857849153,0.2769123705,0.3652842344,82.2,"(12.1459907, -86.2746665)",25.89,66,"(12.1459907, -86.2746665)"
23,Kathmandu,181.0,1.0,Congested Emerging,Nepal,,,,,1.01,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2755000.0,199.0,13800.0,245881.0,330118.0,493340.0,320068.0,18.6,4.1,685.1,,32.39,4.58,29.24,18.64,26.42,0.35,15.5,69.2,62.76,15.4,0.19,,,0.233576269,95.52,1216441.812,12397407256.0,91.07830282,7866.0,10191.53331,5.13659392,2.618180047,1.080249013,0.001062175,3e-05,0.0519557635,0.0,0.4163743445,0.0176970937,0.293120897,0.209464561,0.6997162266,0.1840012611,0.5501401582,,"(27.708317, 85.3205817)",7.36,100,"(27.708317, 85.3205817)"
24,Chittagong,14.0,3.0,Congested Boomer,Bangladesh,,,,,1.06,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3250000.0,111.0,29200.0,1285651.0,1760705.0,1893991.0,1068765.0,34.3,7.3,972.88,,,,,,,0.29,21.3,71.8,,31.9,0.18,29.0,,0.438735966,,2585586.017,2205203248.0,148.3666734,9959.0,852.8833436,4.891469534,2.496702509,1.102850679,0.001231022,0.0,0.0651517968,0.0421329819,0.3814241163,0.0951321906,0.2883818185,0.4009221652,0.5719525576,0.1756424061,0.1963093976,,"(22.3307998, 91.8412863)",19.52,83,"(22.3307998, 91.8412863)"
25,Karachi,191.0,3.0,Congested Boomer,Pakistan,48.0,52.0,,,0.76,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,172.66,41.73,162.16,22825000.0,945.0,24100.0,2884035.0,3468603.0,4229141.0,2461452.0,38.8,5.0,6000.0,17.56,28.57,6.6,26.66,21.02,44.8,0.34,50.5,66.4,33.92,14.8,0.24,34.0,11.0,0.846439474,93.28,9612540.834,707510490.9,133.5260569,43074.0,73.60285934,5.588909334,3.010120442,1.039720045,0.000254411,0.013798921,0.0840738151,0.0792759624,0.4188751334,0.0642513862,0.2960237738,0.688797463,0.5915941094,0.329516255,0.3593647985,73.7,"(24.8667795, 67.0311286)",19.73,62,"(24.8667795, 67.0311286)"
26,Glasgow,264.0,10.0,MassTransit Moderate,United Kingdom,68.07,21.1,0.95,8.92,1.69,1.0,10.4,0.02826087,1.214574899,10.36437247,121.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2.510121458,,,4.0,29.0,50.0,62.0,187.17,45.11,236.58,1235000.0,368.0,3300.0,-46568.0,-30497.0,79971.0,83468.0,82.6,2.2,41561.0,9.0,67.96,27.63,54.29,82.5,114.98,,,81.2,53.48,89.8,0.77,43.0,68.0,5.09,,3190218.505,9619653875.0,102.5233315,17915.0,3015.358935,4.783255737,2.576197207,1.079929894,0.008794952,0.02288829,0.3947951938,0.1695611847,0.4447364761,0.707717542,0.3066242883,0.0218225522,0.3873319273,0.2212507426,0.4745930483,,"(55.8609825, -4.2488787)",5.0,80,"(55.8609825, -4.2488787)"
27,Huambo,5.0,1.0,Congested Emerging,Angola,,,,,0.76,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,590000.0,130.0,4600.0,251285.0,460941.0,627198.0,330972.0,44.1,7.2,3582.6,,,,,,,,18.7,52.4,,29.5,0.11,,,1.384496389,,524358.9636,424936578.9,198.6208195,1574.0,810.3925143,5.581714286,3.023428571,1.055167333,0.00020475,0.0,0.0748224312,0.0372568198,0.3429578511,0.0432311287,0.3436013473,0.2063260331,0.687645756,0.4582154864,0.3136139722,,"(-12.6076318, 15.7411039)",16.77,94,"(-12.6076318, 15.7411039)"
28,Santa Cruz,20.0,2.0,BusTransit Sprawl,Bolivia,,,,,0.54,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2190000.0,596.0,3700.0,437473.0,599428.0,594677.0,290874.0,68.5,3.7,2457.6,,,,,,,0.51,29.0,70.7,,41.9,0.38,,,1.894511704,,,,,,,,,,,,0.060212173,0.105818802,0.3913879529,0.2395710001,0.2795119858,0.1510075381,0.5594520998,0.7215776742,0.382695918,,"(28.469648, -16.2540884)",16.2,82,"(28.469648, -16.2540884)"
29,Lille,93.0,10.0,MassTransit Moderate,France,57.0,10.0,2,32.0,1.78,4.1,45.0,0.101580135,5.660377358,99.05660377,34.0,6.0,0.013544018,5.188679245,3.490566038,0.943396226,10.0,215,20.28301887,1100.0,103.7735849,7.0,22.0,48.0,47.0,,,,1060000.0,443.0,2400.0,42292.0,30988.0,141404.0,76129.0,79.5,2.2,37835.0,14.6,74.24,23.79,63.6,71.1,99.31,,,82.4,,83.3,0.72,40.0,49.0,6.8,,935264.1582,12500218991.0,95.78698875,5931.0,13365.44214,4.538837106,2.905459387,1.055629008,0.005280657,0.015071572,0.4335155694,0.3614291947,0.5444178361,0.6440127843,0.4065493566,0.0240705062,0.3092808487,0.0,0.6582481705,,"(50.6365654, 3.0635282)",-1.48,93,"(50.6365654, 3.0635282)"
30,Baghdad,133.0,2.0,BusTransit Sprawl,Iraq,,,,,0.63,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,6790000.0,673.0,10100.0,1108298.0,690729.0,1925415.0,1324865.0,69.5,1.7,5695.7,,,,,,,,14.8,68.9,23.04,9.0,,,,4.920137222,,7639651.908,6472713032.0,114.1985098,41677.0,847.2523499,5.621210061,3.032290959,1.041691113,0.000475684,0.009025783,0.056935186,0.0905549766,0.3967928966,0.2237460013,0.2264717581,0.2820521067,0.5589729238,0.609882815,0.4908157513,,"(33.3024309, 44.3787992)",13.46,100,"(33.3024309, 44.3787992)"
31,Rabat,177.0,1.0,Congested Emerging,Morocco,9.0,20.0,4,66.0,1.25,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1880000.0,184.0,10200.0,332692.0,299556.0,405928.0,216245.0,60.2,4.7,3204.9,,40.2,12.42,34.1,26.47,40.5,0.38,4.8,74.3,,60.0,0.33,29.0,,1.750481949,,1311495.742,5760966534.0,105.5105183,7523.0,4392.66888,5.449758991,3.080583364,1.060893954,0.002449313,0.001356878,0.0670097041,0.0663061278,0.3729717253,0.1270748681,0.3484844378,0.1415377874,0.6548141185,0.1666442412,0.4621941303,52.7,"(34.022405, -6.834543)",14.73,87,"(34.022405, -6.834543)"
32,Chongqing,47.0,11.0,MetroBike Giant,China,20.6,32.6,0.5,46.3,1.18,18.8,201.6,0.207621009,1.612903226,84.67741935,12.0,11.5,0.01184346,0.120967742,0.134408602,0.483870968,10.0,0,0.0,0.0,0.0,0.0,52.0,90.0,94.0,,,,7440000.0,971.0,7700.0,4313087.0,2296495.0,2746449.0,1148410.0,55.6,9.8,10516.0,3.4,,,,,,0.32,,76.1,,50.1,0.43,38.0,58.0,3.0,,3489966.372,3163884512.0,350.8209059,5859.0,906.5659019,4.119620715,2.914077316,1.117245823,0.001487252,0.050712298,0.4679953163,0.1420134091,0.3564951844,0.3287993812,0.6218812771,0.5407528683,0.8096909845,0.5917408717,0.2295348708,,"(29.5647398, 106.5478767)",7.98,93,"(29.5647398, 106.5478767)"
